outlet_id,static_profit,opt_profit,diff_abs,diff_pct_vs_static
OUT013,26725.331820881824,27968.603534615657,1243.2717137338332,4.652034713980253
OUT017,26725.331820881824,27968.603534615657,1243.2717137338332,4.652034713980253
OUT049,26725.331820881824,27968.603534615657,1243.2717137338332,4.652034713980253
OUT046,26725.331820881824,27968.603534615657,1243.2717137338332,4.652034713980253
OUT045,26725.331820881824,27968.603534615657,1243.2717137338332,4.652034713980253
OUT035,26725.331820881824,27968.603534615657,1243.2717137338332,4.652034713980253
OUT018,26922.138626446456,28096.21267008595,1174.0740436394954,4.360998433037433
OUT010,15015.367306356677,16125.94938811124,1110.5820817545628,7.396303127958806
OUT019,15015.367306356677,16125.94938811124,1110.5820817545628,7.396303127958806
OUT027,33921.68132670783,34901.39520867153,979.7138819636966,2.88816427619798
