outlet_id,static_profit,opt_profit,diff_abs,diff_pct_vs_static
OUT010,15623.306513462165,16125.94938811124,502.64287464907466,3.2172630948254226
OUT019,15623.306513462165,16125.94938811124,502.64287464907466,3.2172630948254226
OUT027,34572.36232888316,34901.39520867153,329.03287978837034,0.9517222938320383
OUT018,27933.167731586756,28096.21267008595,163.04493849919527,0.5836965576762153
OUT013,27891.296951153112,27968.603534615657,77.30658346254495,0.2771709884912643
OUT017,27891.296951153112,27968.603534615657,77.30658346254495,0.2771709884912643
OUT035,27891.296951153112,27968.603534615657,77.30658346254495,0.2771709884912643
OUT045,27891.296951153112,27968.603534615657,77.30658346254495,0.2771709884912643
OUT046,27891.296951153112,27968.603534615657,77.30658346254495,0.2771709884912643
OUT049,27891.296951153112,27968.603534615657,77.30658346254495,0.2771709884912643
