static_case,month,outlet_id,static_price,static_demand,static_profit,opt_price,opt_demand,opt_profit,profit_diff_abs,profit_diff_pct_vs_static
month,January,OUT010,297.6,10.399519896133736,846.9547335533516,264.0,13.0,943.969812411814,97.0150788584624,11.454576616089152
month,January,OUT013,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,January,OUT017,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,January,OUT018,297.6,16.033845384391732,1847.6109402679722,313.0,15.0,1868.9500623469107,21.339122078938544,1.1549575516068107
month,January,OUT019,297.6,10.399519896133736,846.9547335533516,264.0,13.0,943.969812411814,97.0150788584624,11.454576616089152
month,January,OUT027,297.6,19.154333676276867,2401.809660906772,320.0,17.0,2452.349385130396,50.539724223624034,2.104235195912378
month,January,OUT035,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,January,OUT045,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,January,OUT046,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,January,OUT049,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,February,OUT010,297.6,10.399519896133736,846.9547335533516,264.0,13.0,943.969812411814,97.0150788584624,11.454576616089152
month,February,OUT013,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,February,OUT017,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,February,OUT018,297.6,16.033845384391732,1847.6109402679722,313.0,15.0,1868.9500623469107,21.339122078938544,1.1549575516068107
month,February,OUT019,297.6,10.399519896133736,846.9547335533516,264.0,13.0,943.969812411814,97.0150788584624,11.454576616089152
month,February,OUT027,297.6,19.154333676276867,2401.809660906772,320.0,17.0,2452.349385130396,50.539724223624034,2.104235195912378
month,February,OUT035,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,February,OUT045,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,February,OUT046,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,February,OUT049,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,March,OUT010,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,March,OUT013,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,March,OUT017,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,March,OUT018,318.775,20.14999565013378,3005.3153853553413,320.0,20.0,3015.669925717851,10.354540362509852,0.34454088955078355
month,March,OUT019,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,March,OUT027,318.775,23.088524366914438,3589.4214310334173,320.0,23.0,3601.2703516760794,11.848920642662051,0.3301067002113115
month,March,OUT035,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,March,OUT045,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,March,OUT046,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,March,OUT049,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,April,OUT010,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,April,OUT013,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,April,OUT017,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,April,OUT018,318.775,20.14999565013378,3005.3153853553413,320.0,20.0,3015.669925717851,10.354540362509852,0.34454088955078355
month,April,OUT019,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,April,OUT027,318.775,23.088524366914438,3589.4214310334173,320.0,23.0,3601.2703516760794,11.848920642662051,0.3301067002113115
month,April,OUT035,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,April,OUT045,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,April,OUT046,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,April,OUT049,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,May,OUT010,318.775,14.168980215053171,1816.4390422471938,313.875,15.0,1818.1263006063891,1.6872583591953116,0.09288824562523897
month,May,OUT013,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,May,OUT017,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
