outlet_id,static_profit,opt_profit,diff_abs,diff_pct_vs_static
OUT010,14433.416836884746,16125.94938811124,1692.5325512264935,11.726485629523351
OUT019,14433.416836884746,16125.94938811124,1692.5325512264935,11.726485629523351
OUT027,33337.738976141125,34901.39520867153,1563.656232530404,4.690348777550477
OUT018,26649.131992878014,28096.21267008595,1447.0806772079377,5.4301231184365415
OUT013,26654.903382643195,27968.603534615657,1313.7001519724618,4.92854966725522
OUT017,26654.903382643195,27968.603534615657,1313.7001519724618,4.92854966725522
OUT035,26654.903382643195,27968.603534615657,1313.7001519724618,4.92854966725522
OUT045,26654.903382643195,27968.603534615657,1313.7001519724618,4.92854966725522
OUT046,26654.903382643195,27968.603534615657,1313.7001519724618,4.92854966725522
OUT049,26654.903382643195,27968.603534615657,1313.7001519724618,4.92854966725522
